t,s1,s2,s3,s4,s5,s6,s7,s8
106,-0.072279,-0.002933,-0.271243,0.223903,-0.065722,0.381942,0.317137,0.050489
107,-0.072094,-0.002771,-0.270901,0.223817,-0.065854,0.38179,0.317159,0.050543
108,-0.071561,-0.00301,-0.2703,0.223482,-0.065708,0.381107,0.316391,0.050631
109,-0.07142,-0.003364,-0.270919,0.223738,-0.06557,0.381721,0.316534,0.050857
110,-0.071354,-0.00365,-0.271115,0.223893,-0.065399,0.382042,0.316491,0.050916
111,-0.071102,-0.003404,-0.270534,0.223439,-0.065485,0.381364,0.315834,0.050764
112,-0.071044,-0.003222,-0.270564,0.22367,-0.065642,0.381589,0.315969,0.050916
113,-0.071399,-0.002941,-0.27095,0.224037,-0.065674,0.38183,0.316575,0.050955
114,-0.071291,-0.002798,-0.270548,0.223729,-0.065559,0.381121,0.316298,0.050614
115,-0.071423,-0.002658,-0.270505,0.223571,-0.065629,0.380943,0.316437,0.050419
116,-0.071813,-0.002513,-0.270996,0.223816,-0.065924,0.381668,0.317284,0.050528
117,-0.071506,-0.002961,-0.270791,0.223686,-0.06575,0.381665,0.316849,0.050513
118,-0.071423,-0.002979,-0.270414,0.223476,-0.065467,0.381228,0.316339,0.050259
119,-0.071754,-0.002978,-0.27095,0.223942,-0.065461,0.381967,0.316665,0.050328
120,-0.071885,-0.003356,-0.271135,0.223875,-0.065506,0.382179,0.316503,0.050269
121,-0.071853,-0.003667,-0.270504,0.223362,-0.065341,0.38133,0.315794,0.050412
122,-0.07194,-0.003887,-0.270776,0.223477,-0.065652,0.381651,0.315872,0.050432
123,-0.072002,-0.003831,-0.271077,0.22348,-0.065855,0.381927,0.315965,0.050302
124,-0.071844,-0.003758,-0.270919,0.22322,-0.065877,0.38152,0.315611,0.050231
125,-0.071882,-0.003638,-0.270996,0.223233,-0.065982,0.381592,0.315564,0.050226
126,-0.07208,-0.003455,-0.271381,0.223683,-0.066234,0.382173,0.316106,0.050244
127,-0.07188,-0.003581,-0.271102,0.22342,-0.06596,0.381813,0.316028,0.050524
128,-0.071587,-0.00395,-0.270633,0.223144,-0.065611,0.381213,0.315393,0.050775
129,-0.071925,-0.003909,-0.271015,0.223537,-0.065765,0.381855,0.316015,0.050806
130,-0.072119,-0.003763,-0.271061,0.223596,-0.065785,0.381857,0.316199,0.050722
131,-0.071977,-0.003715,-0.270728,0.223333,-0.065573,0.381458,0.315872,0.050519
