t,s1
20.597,12.776
20.631,12.5557
20.664,11.973
20.697,11.0423
20.731,9.8763
20.764,8.5059
20.797,6.7311
20.831,4.7871
20.864,2.6845
20.898,0.4507
20.931,-1.8329
20.964,-4.0748
20.998,-6.2086
21.03,-8.1479
21.064,-9.5481
21.131,-11.0204
21.164,-12.1845
21.198,-12.99
21.231,-13.3839
21.264,-13.3807
21.298,-12.9673
21.331,-12.1852
21.363,-11.0256
21.398,-9.5872
21.431,-8.1567
21.463,-6.1382
21.497,-3.9535
21.531,-1.6749
21.564,0.6196
21.598,2.8985
21.631,5.0701
21.665,6.9878
21.697,8.7774
21.731,10.0807
21.764,11.3079
21.798,12.1492
21.831,12.7301
21.864,12.9324
21.897,12.7986
21.931,12.2991
21.966,11.4865
21.997,10.4254
22.031,8.9614
22.065,7.5101
22.097,5.5871
22.13,3.593
22.165,1.4013
22.197,-0.8362
22.23,-3.0597
22.264,-5.2393
22.298,-7.315
22.33,-9.1771
22.401,-10.7677
22.415,-12.0531
22.464,-12.9939
22.497,-13.5607
22.531,-13.7379
22.564,-13.4448
22.597,-12.7824
22.631,-11.7379
22.664,-10.3256
22.697,-8.6107
22.731,-6.6648
22.764,-4.5237
22.801,-2.2996
22.815,-0.0232
22.865,2.2563
22.901,4.4131
22.915,6.3793
