t,s1
46.947,-6.2916
47.002,-4.749
47.016,-2.8328
47.064,-0.7716
47.08,1.2825
47.131,3.0898
47.146,4.8243
47.198,6.24
47.213,7.4766
47.264,8.533
47.28,9.4258
47.347,10.0566
47.398,10.458
47.413,10.6602
47.464,10.621
47.48,10.545
47.532,10.2509
47.546,10.2406
47.598,10.0034
47.613,9.5772
47.664,8.8867
47.68,7.9824
47.734,6.8889
47.749,5.6407
47.798,4.2088
47.831,2.6522
47.847,1.0274
47.898,-0.9859
47.914,-3.0125
47.965,-4.9305
47.98,-6.4235
48.031,-7.7661
48.049,-8.9692
48.097,-10.027
48.113,-10.8843
48.165,-11.6906
48.18,-12.1527
48.231,-12.3973
48.247,-12.4234
48.298,-12.3378
48.331,-12.3538
48.347,-12.3848
48.398,-12.3
48.413,-12.1106
48.464,-11.6894
48.48,-10.9204
48.532,-10.1016
48.547,-9.0633
48.598,-7.849
48.614,-6.4867
48.664,-4.9887
48.68,-3.1697
48.732,-1.2502
48.764,0.8042
48.783,2.7045
48.82,4.361
48.847,5.8019
48.898,7.0839
48.914,8.1898
48.964,9.1064
48.98,9.8806
49.031,10.462
49.047,10.7629
49.098,10.8339
49.113,10.8102
49.165,10.7649
49.183,10.6348
49.231,10.6186
49.247,10.3885
49.298,9.9891
49.313,9.2876
49.365,8.3112
49.38,7.2707
49.431,6.0628
49.447,4.6967
49.498,3.185
49.516,1.5646
49.565,-0.4448
49.58,-2.4585
49.631,-4.4869
49.647,-6.2375
49.698,-7.6041
49.713,-8.8513
49.765,-9.9406
49.78,-10.845
49.831,-11.3817
49.849,-12.1467
49.898,-12.4414
49.913,-12.5413
49.965,-12.4013
49.98,-12.2478
50.031,-12.2768
50.047,-12.2965
50.098,-12.1749
50.113,-11.8153
50.165,-11.4157
