t,s1,s2
4.56,-181.76207064293553,-182.170309493415
4.58,-181.76207064293553,-182.170309493415
4.6000000000000005,-181.46960438947008,-182.3095235593647
4.62,-181.46960438947008,-182.4245193923632
4.64,-181.46960438947008,-182.56108367599364
4.66,-181.76207064293553,-182.95979260295704
4.68,-181.76207064293553,-183.19991371965048
4.7,-181.76407194929865,-183.4617790190802
4.72,-182.05650223647447,-184.0865440603802
4.74,-182.05650223647447,-184.51956209020943
4.76,-182.34872967262825,-185.00913469271967
4.78,-182.642907207024,-185.66722866712627
4.8,-182.642907207024,-186.56390166381536
4.82,-182.93682536794333,-187.52985704761028
4.84,-183.22869724496687,-188.57677082794376
4.86,-183.5222485754102,-190.26729075455387
4.88,-183.8137510641004,-191.88606507167935
4.9,-184.12839439576376,-194.10315099748172
4.92,-184.42193703358632,-196.79669443938047
4.94,-184.71506682397165,-200.05652910707337
4.96,-185.00810903140703,-203.8983523836848
4.98,-185.30068844777009,-208.8831938420896
5.0,-185.30068844777009,-214.61139271195248
5.02,-185.5931703479096,-221.82760303390447
5.04,-185.88514008832456,-230.22113353737447
5.06,-186.17700250005447,-239.86637506279783
5.08,-187.086843613206,-251.44958230541212
5.1000000000000005,-188.25150586419855,-264.14413661977744
5.12,-190.0381104335561,-278.7151865838927
5.14,-193.31691441069353,-295.057744147351
5.16,-197.9552975073932,-313.280675932572
5.18,-204.56476214895648,-333.4570124148522
5.2,-212.98934821157223,-355.8653414809243
5.22,-224.08266734762384,-379.41006513025866
5.24,-236.9182708074448,-403.0248473725128
5.26,-251.64550816167508,-427.6516001522208
5.28,-267.9355874454308,-451.8877446784314
5.3,-285.8963887719083,-477.63800200997474
5.32,-305.2786696373879,-505.51050650942864
5.34,-325.19676745446094,-536.6958612125833
5.36,-344.8127066390444,-572.9323857867288
5.38,-360.8823363410392,-614.3281589521873
5.4,-370.6696359717612,-659.3931338474005
5.42,-371.88408218302266,-712.2751440225245
5.44,-368.5878416654016,-770.8599683938658
5.46,-372.4581353074069,-819.9460943251061
5.48,-384.29664067343634,-864.5714739479558
5.5,-400.7553438453174,-906.186325848275
5.52,-419.60082073081173,-945.8149666765347
5.54,-438.5113113937648,-984.1918689751718
5.56,-454.6886201851137,-1022.3646322702988
5.58,-466.9392862174725,-1058.9495167081664
5.6000000000000005,-473.90815410603994,-1092.989612267919
5.62,-475.4852218097537,-1125.5078256439976
5.64,-471.9414037160521,-1159.7071866483648
5.66,-463.60036225979434,-1197.4935702592359
5.68,-455.5632969975524,-1233.3250256277613
5.7,-449.99753199316007,-1265.3970430456775
5.72,-446.18566778479584,-1297.1544887093796
5.74,-444.43319538971673,-1331.4530492520853
5.76,-442.65438926035694,-1367.9289464054384
5.78,-437.01876076980824,-1400.7772528573498
5.8,-426.277041171352,-1433.7535078111769
5.82,-409.4875717777308,-1474.756245300507
5.84,-389.16257164936167,-1520.5910761870532
5.86,-373.3864569705677,-1554.0649755197803
5.88,-360.2948212320786,-1580.8455632563312
5.9,-348.45475694268407,-1603.9546867859315
5.92,-336.9730596025408,-1627.9270312106255
5.94,-325.44185811463126,-1653.237856539888
5.96,-312.199391994653,-1682.8627736297994
5.98,-296.00819971070024,-1721.5287891795858
6.0,-278.9270764380527,-1764.5521647937176
6.02,-267.9357127748473,-1799.1942808212402
6.04,-262.61858316991834,-1831.686608385428
6.06,-262.61858316991834,-1867.2518311728484
6.08,-265.87357337883145,-1906.95647626261
