Time Angle omega x y
s degrees degrees/s  
18.7490 -4.0354 71.8026  
18.7820 -1.4747 75.7678  
18.8150 1.1352 71.8011  
18.8480 3.7463 60.9608  
18.8820 6.2658 46.1859  
18.9150 8.6119 14.0704  
18.9490 10.2789 -107.0670  
18.9830 11.7864 36.6836  
19.0160 13.4017 123.8090  
19.0490 14.1609 -163.2364  
19.0820 15.0241 103.3398  
19.1150 15.5982 -11.8257  
19.1490 15.7672 -49.4909  
19.1820 15.5303 -62.0308  
19.2150 14.9162 -66.7098  
19.2490 14.0041 -73.9798  
19.2820 13.2047 -76.1779  
19.3150 11.9649 -95.6327  
19.3490 10.0333 -83.3499  
19.3820 8.3567 -85.9107  
19.4150 6.0426 -89.8890  
19.4490 3.5306 -69.6500  
19.4820 0.9707 -65.5218  
19.5200 -1.5998 -56.6524  
19.5480 -4.1212 -61.1070  
19.5830 -6.5212 -37.1479  
19.6160 -8.5678 30.8762  
19.6480 -10.0517 77.2471  
19.7160 -11.4332 -26.6239  
19.7490 -12.1814 106.0077  
19.7820 -13.0701 -132.4481  
19.8160 -13.6929 8.5219  
19.8490 -13.9119 56.8583  
19.8820 -13.7156 60.6167  
19.9150 -13.1154 70.5326  
19.9490 -12.1495 69.3304  
19.9820 -11.0257 78.7280  
20.0160 -9.8096 99.8554  
20.0490 -8.1117 91.1319  
20.0810 -6.4779 89.2700  
20.1150 -4.1543 74.3578  
20.1520 -1.6096 67.5695  
20.1820 0.9843 78.9498  
20.2160 3.5836 60.4175  
20.2490 6.1190 51.1665  
20.2820 8.4546 10.9098  
20.3160 10.1147 -122.2830  
20.3490 11.4844 14.8698  
20.3820 13.0619 154.1269  
20.4160 13.8050 -161.3963  
20.4490 14.6380 103.8481  
20.4820 15.2330 3.6128  
20.5160 15.4180 -50.8992  
20.5520 15.1929 -56.8616  
20.5820 14.5788 -73.3808  
20.6160 13.6794 -73.3174  
20.6490 12.9595 -71.5885  
20.6820 11.8583 -100.7057  
20.7160 9.9644 -83.5429  
