Tempo Angle omega x y
s degrees degrees/s  
13.1970 -13.2703 -50.4166  
13.2300 -13.1748 38.9495  
13.2630 -12.9304 29.1749  
13.2970 -12.4544 57.7815  
13.3330 -11.3604 58.1218  
13.3640 -10.4535 72.1752  
13.3970 -9.3069 78.6629  
13.4300 -7.9776 71.4260  
13.4640 -6.4963 65.5266  
13.4970 -4.8473 75.1669  
13.5300 -2.8179 63.3595  
13.5640 -0.7300 54.9674  
13.5970 1.3384 23.2902  
13.6310 3.3375 37.3916  
13.6640 5.1642 11.1944  
13.7000 6.6656 -28.2490  
13.7300 7.9713 21.3230  
13.7640 9.0847 12.7539  
13.7840 9.9953 10.0299  
13.8650 10.6579 0.0000  
13.8970 11.0827 -8.9806  
13.9310 11.2686 -15.2977  
13.9640 11.3136 -19.3992  
13.9970 11.1447 -26.2836  
14.0300 10.9961 17.3108  
14.0640 10.9835 10.1381  
14.0980 10.7398 -49.1778  
14.1300 10.2791 -54.2772  
14.1640 9.5636 -69.0324  
14.1970 8.6150 -70.6384  
14.2300 7.4732 -67.2547  
14.2630 6.1606 -67.4937  
14.2980 4.6627 -71.2593  
14.3300 3.0293 -69.4506  
14.3630 1.1514 -56.7501  
14.3970 -0.9455 -54.2904  
14.4300 -3.0765 -61.0077  
14.4640 -5.1887 -45.5480  
14.4970 -7.0649 0.3608  
14.5300 -8.4702 72.0951  
14.5670 -9.7502 -26.1233  
14.5970 -10.8420 -11.5008  
14.6310 -11.7282 -12.9030  
14.6640 -12.5649 -52.3352  
14.6960 -13.2657 -16.0638  
14.7300 -13.5380 71.7184  
14.7640 -13.5714 11.0815  
14.7970 -13.3793 21.4196  
14.8310 -13.1002 25.9101  
14.8640 -13.2379 -54.1925  
14.8960 -13.2658 4.0735  
14.9300 -13.0929 48.9398  
14.9640 -12.6632 62.6378  
14.9970 -11.8764 55.8677  
15.0300 -10.8034 71.1315  
15.0640 -9.7246 73.4216  
15.0970 -8.4484 71.2513  
15.1310 -7.0202 65.5101  
15.1640 -5.4570 67.5935  
15.1970 -3.4686 74.6350  
15.2300 -1.3067 56.5637  
15.2640 0.8729 54.1014  
15.2970 2.8462 2.0586  
15.3290 4.7570 38.0654  
