Tempo Angle omega x y
s degrees degrees/s  
8.4300 -10.4023 27.2725  
8.4630 -10.3001 29.6571  
8.4960 -9.9982 36.5279  
8.5300 -9.6774 -16.2902  
8.5630 -9.1552 48.5769  
8.5960 -8.3314 53.7385  
8.6340 -6.9870 74.1390  
8.6620 -5.7694 87.7039  
8.6960 -4.3501 68.6901  
8.7300 -2.7760 64.6707  
8.7630 -0.9939 91.1402  
8.7960 0.8529 49.2471  
8.8300 2.6596 23.6623  
8.8630 4.5769 16.7309  
8.8960 6.6904 108.0044  
8.9300 8.5404 -25.3119  
8.9620 9.8241 -88.9327  
8.9810 10.9088 24.5326  
9.0300 12.2872 107.5824  
9.0620 13.5858 43.7947  
9.0970 13.9228 -188.8146  
9.1300 14.0505 -14.1999  
9.1630 14.2084 33.5503  
9.1970 14.5703 76.2531  
9.2300 13.9497 -189.7402  
9.2630 13.2940 -36.6958  
9.2960 13.0927 51.4348  
9.3330 12.6518 -52.1633  
9.3630 11.4500 -77.8735  
9.3960 9.8755 -70.5045  
9.4300 8.7164 -72.1815  
9.4630 7.3719 -70.3783  
9.4970 5.6436 -80.3417  
9.5300 3.4683 -56.8626  
9.5630 1.7639 -47.0492  
9.5970 -0.0122 -56.7252  
9.6300 -1.7977 48.6103  
9.6630 -3.4880 -29.6427  
9.6960 -5.0375 -28.1136  
9.7300 -6.4100 -16.4081  
9.7660 -7.5782 -11.4060  
9.7960 -8.2111 101.0313  
9.8300 -8.8776 -90.2398  
9.8630 -9.3343 6.7450  
9.8970 -9.5852 14.8324  
9.9300 -9.5690 22.5151  
9.9630 -9.6340 23.9704  
9.9960 -9.4898 33.7863  
10.0300 -9.3102 -16.9008  
10.0630 -8.9131 49.0417  
10.0960 -8.3443 39.5410  
10.1290 -7.8616 65.7822  
10.1620 -6.8128 78.5773  
10.1970 -5.5406 70.1712  
10.2300 -4.0850 70.8643  
10.2630 -2.4722 70.1608  
10.2970 -0.6489 85.1555  
10.3300 1.1420 23.9951  
10.3630 2.8509 -42.2681  
10.3970 4.5243 37.1387  
10.4300 6.6483 176.0967  
10.4620 8.4463 -34.0209  
10.4960 9.6941 -85.5758  
10.5290 10.7336 11.3059  
10.5630 11.1943 -101.4503  
10.5830 12.2213 398.9602  
10.6300 12.4937 -98.9904  
10.6640 12.6560 -9.0390  
10.6960 13.2965 105.8167  
10.7300 13.2933 -152.1892  
10.7620 12.5969 -35.0207  
10.7970 12.1045 27.1826  
10.8300 11.8492 -16.3199  
10.8640 11.3301 -66.6183  
10.8970 10.9363 -66.5459  
10.9300 9.5131 -70.1580  
10.9630 8.3086 -74.6968  
10.9960 6.8891 -74.4639  
11.0290 4.8851 -74.5345  
11.0620 3.2709 -38.6563  
11.0790 1.5461 -131.0017  
11.1300 -0.1744 19.5034  
11.1630 -1.9524 -33.7565  
11.1970 -3.6016 -28.7504  
11.2300 -5.1056 -22.5028  
11.2630 -6.4245 -14.0898  
11.2960 -7.5287 -9.6338  
11.3630 -8.3871 0.0000  
11.4000 -8.9771 6.0768  
11.4290 -9.3838 19.2426  
11.4630 -9.4934 21.8410  
11.4970 -9.6141 26.0162  
11.5300 -9.5027 36.5736  
11.5630 -9.1732 36.4792  
11.5960 -8.7501 5.8480  
11.6300 -8.1483 38.8845  
11.6630 -7.2762 72.2812  
11.6970 -6.1583 72.2851  
11.7290 -4.8301 72.7535  
11.7450 -3.3244 145.8058  
