Tempo Ângulo omega x y
s graus graus/s  
8.6320 5.7658 -34.5905  
8.6650 5.8307 11.4785  
8.6810 5.7296 -54.1639  
8.7320 5.5573 -26.0056  
8.7660 5.1493 -53.2375  
8.7990 4.4469 -65.1148  
8.8320 3.5804 -55.0000  
8.8660 2.3339 -41.2522  
8.8990 1.2514 -12.0208  
8.9310 0.2260 8.5805  
8.9480 -0.7534 -40.0911  
8.9990 -1.8137 -8.4326  
9.0160 -2.8326 -26.6260  
9.0810 -3.7448 -3.9847  
9.1320 -4.3958 15.7227  
9.1480 -4.7798 32.5562  
9.1980 -5.0049 -4.5173  
9.2140 -5.0217 42.5552  
9.2660 -4.9012 18.7620  
9.2990 -4.7314 23.2729  
9.3320 -4.2469 74.6923  
9.3650 -3.5423 53.6923  
9.3860 -2.6230 80.6428  
9.4150 -1.5337 49.7264  
9.4660 -0.4354 17.4790  
9.4990 0.5351 -22.9656  
9.5320 1.5738 13.8387  
9.5650 2.6189 22.5660  
9.5990 3.4826 -24.6427  
9.6650 4.3809 16.8771  
9.6810 4.9673 -40.9452  
9.7320 5.3216 -10.7510  
9.7480 5.4517 -34.2387  
9.8000 5.4967 11.3378  
9.8320 5.3406 -34.9624  
9.8650 5.1010 -48.2631  
9.8990 4.6398 -51.7528  
9.9150 3.8449 -162.0391  
9.9650 2.9966 -27.4291  
9.9980 1.9541 -25.0697  
10.0140 0.9786 0.8669  
10.0660 0.0170 -7.8777  
10.0980 -0.9532 -19.7980  
10.1150 -2.0557 -43.1278  
10.1660 -3.1537 -21.0474  
10.1990 -4.5142 -127.8145  
10.2150 -5.1730 328.5474  
10.2650 -5.5094 12.6361  
10.2810 -5.6498 36.7805  
10.3330 -5.6298 14.9386  
10.3660 -5.6356 -7.4118  
10.3990 -5.5204 24.2739  
10.4320 -5.2886 16.1260  
10.4480 -4.6775 191.2285  
10.5020 -3.7824 32.7227  
10.5160 -2.3016 117.0659  
10.5660 -1.2163 26.0373  
10.5990 -0.1329 18.5562  
10.6320 0.8195 -21.8720  
10.6650 1.7557 18.6652  
10.6810 2.8121 59.7973  
10.7320 3.9446 30.6335  
10.7480 5.0549 19.3249  
10.7990 5.6701 -37.0628  
10.8320 6.0852 -7.1130  
10.8480 6.2135 -76.7486  
10.8990 6.3100 19.2632  
10.9140 6.2337 -74.2956  
10.9660 6.1456 -16.1677  
10.9990 5.8003 -59.2557  
11.0150 5.1832 -110.0958  
11.0660 4.0968 -61.3851  
11.0990 2.9228 -17.1857  
11.1150 1.8573 -50.3018  
11.1650 0.7297 -17.1094  
11.1810 -0.2228 32.7172  
11.2310 -1.3346 -12.2401  
11.2480 -2.3942 -34.7660  
11.2990 -3.6556 -56.0782  
11.3140 -4.6643 38.1639  
11.3670 -5.2781 41.2574  
11.3940 -5.4917 32.3049  
11.4240 -5.5963 17.4050  
11.4480 -5.4939 52.7309  
11.4990 -5.3708 -12.7003  
11.5150 -5.2221 48.6543  
11.5660 -4.8916 23.6543  
11.5990 -4.2437 78.2552  
11.6150 -3.1337 110.1038  
11.6660 -1.9150 32.5362  
11.6990 -0.8280 26.3415  
11.7320 0.1220 -15.0898  
