Tempo Angle omega x y
s degrees degrees/s  
15.5810 -15.5445 208.6470  
15.6310 -13.6169 80.7715  
15.6650 -11.1591 109.2339  
15.6990 -8.2694 118.5614  
15.7330 -5.2020 109.3115  
15.7650 -1.8778 89.7331  
15.7990 1.5096 89.3199  
15.8310 4.8931 74.3145  
15.8470 8.1881 112.9082  
15.8980 11.1000 -0.4313  
15.9330 13.7019 12.8230  
15.9470 16.0533 109.4232  
15.9980 17.8654 -32.9104  
16.0310 19.2727 -0.5010  
16.0650 20.1283 -52.9485  
16.0980 20.4596 -71.8792  
16.1320 20.2053 -82.9216  
16.1650 19.3930 -97.0160  
16.1980 18.0283 -112.6622  
16.2310 16.2950 -112.3705  
16.2480 14.1130 -237.5141  
16.2980 11.3913 -77.2862  
16.3310 8.4541 -116.2007  
16.3650 5.1525 -107.6412  
16.3980 1.7511 -84.8277  
16.4310 -1.6422 -69.4037  
16.4480 -5.0033 -146.8831  
16.4990 -8.2187 -34.2119  
16.5140 -11.1638 -67.6627  
16.5990 -13.7381 0.0000  
16.6320 -15.8394 20.9870  
16.6690 -17.3702 49.7300  
16.6830 -18.2983 156.6173  
16.7320 -18.5828 56.6645  
16.7480 -18.3028 177.7883  
16.7980 -17.4440 69.9675  
16.8310 -15.9508 116.5849  
16.8480 -13.9140 217.0758  
16.8980 -11.3883 77.5068  
16.9310 -8.4594 122.1541  
16.9650 -5.2281 109.3115  
16.9980 -1.8862 89.2825  
17.0140 1.5272 181.7098  
17.0660 4.9101 47.5438  
17.0990 8.1950 56.4736  
17.1310 11.0892 -12.7586  
17.1480 13.6960 57.2751  
17.1990 16.0713 26.9594  
17.2180 17.8485 -110.8425  
17.2530 19.1668 -15.9167  
17.2820 20.0058 -37.1410  
17.3330 20.3296 -43.2411  
17.3670 20.0597 -89.0979  
17.3820 19.2400 -201.7872  
17.4340 17.8493 -73.9402  
17.4660 16.1126 -120.9185  
17.4990 13.9071 -112.5460  
17.5160 11.1777 -227.3267  
17.5670 8.2754 -75.1887  
17.6000 5.0548 -113.3241  
17.6330 1.6717 -81.8931  
17.6670 -1.7112 -64.8082  
17.7000 -5.0186 -68.8848  
17.7160 -8.1906 -104.6550  
17.7680 -11.0700 -17.6479  
17.8340 -13.5789 -2.4981  
17.8490 -15.6410 50.2402  
17.9000 -17.1328 36.0729  
17.9170 -18.0348 121.2946  
17.9680 -18.3177 48.0709  
18.0040 -18.0481 78.4140  
18.0180 -17.2078 250.2878  
18.0680 -15.7460 78.8085  
18.1010 -13.7329 116.3597  
18.1350 -11.2405 113.9680  
18.1680 -8.3446 117.2543  
18.2010 -5.1396 116.5119  
18.2170 -1.8114 192.0083  
18.2690 1.5980 55.2648  
18.3020 4.9938 70.1675  
18.3340 8.2872 56.2454  
18.3530 11.1806 -26.1685  
18.4020 13.9248 49.9746  
18.4180 16.2929 4.9273  
18.4690 18.0143 -50.8239  
18.4840 19.3462 -1.6652  
18.5360 20.1724 -23.3316  
18.5690 20.4542 -71.8408  
18.6020 20.1623 -86.7841  
18.6180 19.3199 -199.3664  
18.6700 17.9269 -71.2470  
18.7060 16.2153 -102.3517  
18.7200 13.8550 -288.3836  
18.7700 11.1153 -74.2994  
18.7850 8.2478 -258.0402  
18.8370 5.0308 -67.6962  
18.8700 1.6533 -85.3946  
18.9030 -1.7288 -73.2322  
18.9190 -4.9662 -88.5431  
18.9710 -8.0201 -26.0597  
19.0030 -10.9374 -73.0879  
19.0750 -13.4863 0.0000  
19.0900 -15.4140 144.9625  
19.1220 -16.9004 21.7956  
19.1710 -17.7922 42.3545  
19.2030 -18.0903 75.5166  
19.2190 -17.8213 178.3833  
19.2710 -16.9434 70.6072  
19.3030 -15.5553 115.1501  
19.3200 -13.6280 237.5377  
19.3710 -11.0791 75.9997  
19.4040 -8.1595 112.3536  
19.4200 -5.0729 240.3058  
19.4720 -1.7487 59.0795  
19.5040 1.6552 89.8054  
19.5200 5.0555 148.7080  
19.5710 8.3342 32.1451  
19.5870 11.2389 -4.3349  
19.6380 13.9611 36.4705  
19.6710 16.2795 0.0000  
19.6870 18.0227 -117.2084  
19.7380 19.4204 4.9457  
19.7710 20.2466 -56.6889  
19.7870 20.5284 -148.1717  
19.8390 20.2246 -57.3673  
19.8710 19.3827 -93.7853  
19.8870 18.0018 -234.4594  
19.9380 16.2408 -75.8704  
19.9540 13.9063 -242.2279  
20.0070 11.1692 -75.9536  
20.0390 8.2685 -109.7503  
20.0720 4.9765 -110.9031  
20.0880 1.5917 -174.9571  
20.1390 -1.8176 -51.2946  
20.1550 -5.1520 -139.6156  
20.2060 -8.3380 -29.7471  
20.2430 -11.2669 -31.8948  
20.3060 -13.8088 0.0000  
20.3400 -15.8452 34.7091  
20.3720 -17.3108 52.5489  
20.3880 -18.1858 149.6929  
20.4390 -18.4540 47.2148  
20.4550 -18.1416 187.8627  
20.5070 -17.2180 67.2509  
20.5400 -15.6886 115.8474  
20.5730 -13.6361 112.5711  
20.5910 -11.0780 215.3189  
20.6400 -8.1514 75.1972  
20.6730 -4.9561 117.2091  
20.6890 -1.6143 196.5674  
20.7410 1.7790 55.9819  
20.7740 5.1456 64.8945  
20.7890 8.3814 113.1134  
20.8410 11.2357 -6.0995  
20.8740 13.9255 66.0027  
20.8890 16.2517 5.1745  
20.9410 17.9769 -41.0305  
20.9740 19.3364 0.8580  
20.9900 20.1293 -112.4444  
21.0410 20.3873 -43.1986  
21.0560 20.0680 -190.8386  
21.1080 19.2156 -61.3234  
21.1230 17.8092 -256.2215  
21.1740 16.0639 -72.6792  
21.1900 13.7134 -242.1320  
21.2410 10.9537 -78.6904  
21.2570 8.0397 -229.8779  
21.3090 4.7574 -70.2622  
21.3430 1.3895 -78.1148  
21.3580 -1.9974 -159.5233  
21.4080 -5.2883 -38.0518  
21.4240 -8.4278 -104.6550  
21.4750 -11.2747 -17.9939  
21.5420 -13.7510 0.0000  
21.5750 -15.7316 32.7850  
21.6080 -17.1436 50.7221  
21.6240 -17.9929 121.7876  
21.6750 -18.2051 53.2636  
21.6990 -17.8854 111.0086  
21.7250 -16.9780 133.9918  
21.7750 -15.4842 79.2245  
21.7910 -13.4389 240.0524  
21.8430 -10.9153 74.3231  
21.8760 -8.0035 117.6560  
21.8910 -4.8479 234.6803  
21.9430 -1.5405 61.3641  
21.9760 1.8697 90.2057  
21.9920 5.2176 130.8567  
22.0430 8.4791 35.2912  
22.0760 11.3087 -25.3178  
22.1100 13.9864 71.8455  
22.1490 16.3133 8.5403  
22.1630 17.9952 -184.6886  
22.2100 19.3269 8.1131  
22.2250 20.1364 -113.4936  
22.2760 20.3898 -46.4609  
