Tempo Angle omega x y
s degrees degrees/s  
10.8160 15.3796 -31.1759  
10.8490 15.2134 -43.0790  
10.8820 14.9172 -5.9209  
10.9160 14.6885 38.4902  
10.9500 14.0942 -91.5162  
10.9830 12.6037 -82.7577  
11.0160 10.7495 -95.6284  
11.0490 9.2878 -89.2551  
11.0830 7.5861 -86.6145  
11.1160 5.6252 -102.4970  
11.1490 3.4943 -82.7248  
11.1820 1.2353 -81.8885  
11.2160 -1.2687 -77.8215  
11.2520 -3.6213 78.4395  
11.2830 -5.8050 -45.9183  
11.3160 -7.8428 -38.5473  
11.3490 -9.6770 -33.9052  
11.3830 -11.2871 -20.7366  
11.4160 -12.6507 -14.5489  
11.4840 -14.3999 -106.4365  
11.5170 -15.1362 224.1773  
11.5490 -15.5225 24.9662  
11.5830 -15.5735 20.7733  
11.6160 -15.7953 33.8325  
11.6500 -15.7320 41.9951  
11.6830 -15.4283 34.2624  
11.7170 -15.1648 -44.7183  
11.7500 -14.6163 65.0239  
11.7820 -13.7499 84.3079  
11.8160 -11.8441 92.8644  
11.8490 -10.3605 96.2113  
11.8830 -8.6845 80.0899  
11.9160 -6.7867 88.6321  
11.9490 -4.7285 82.4144  
11.9830 -2.4938 93.9274  
12.0190 -0.1242 68.8496  
12.0490 2.2952 -34.0480  
12.0830 4.4802 -5.8497  
12.1160 6.5211 38.1094  
12.1500 8.3410 27.8608  
12.1830 9.9139 21.3342  
12.2150 11.2617 14.8023  
12.2500 13.0653 213.7440  
12.2830 14.3612 -71.3919  
12.3170 15.0715 -78.3179  
12.3500 15.2333 -91.1027  
12.3820 15.4181 -24.7421  
12.4160 15.5199 -30.2590  
12.4500 15.3538 -41.8120  
12.4830 15.2806 56.8566  
12.5160 15.0283 -32.9264  
12.5500 14.4461 -83.0922  
12.5830 12.8464 -81.6314  
12.6170 11.1655 -93.1920  
12.6500 9.4803 -82.0052  
12.6820 7.7785 -99.1045  
12.7160 5.8152 -100.2210  
12.7490 3.6843 -81.9638  
12.7860 1.4435 -68.1140  
12.8160 -1.2507 -88.5765  
12.8490 -4.0225 -56.4714  
12.8830 -6.1867 95.6386  
12.9160 -8.2245 -43.3517  
12.9500 -10.0413 -28.1965  
12.9830 -11.6581 -21.3774  
13.0170 -13.0057 -14.1097  
13.0500 -14.3749 -109.8014  
13.0830 -15.6073 -40.4985  
13.1160 -16.0917 150.2999  
13.1490 -16.2304 24.2096  
13.1830 -16.1122 20.7733  
13.2160 -16.2074 33.8325  
13.2490 -16.0169 43.2677  
13.2830 -15.6238 31.3753  
13.3160 -15.0928 20.4064  
13.3490 -14.4998 4.2450  
13.3830 -13.2871 75.6946  
13.4160 -11.6250 95.6785  
13.4500 -10.1641 86.7190  
13.4830 -8.4881 89.3813  
13.5160 -6.5903 88.6321  
13.5500 -4.5321 79.9905  
13.5830 -2.2974 96.7737  
13.6150 0.0462 67.3604  
13.6490 2.4463 36.3955  
13.6820 4.7432 -26.9884  
13.7170 6.7684 -4.1150  
13.7490 8.5883 34.5249  
13.7830 10.1838 20.7067  
13.8160 11.5317 14.3537  
13.8500 12.7772 55.9068  
13.8830 14.0953 104.4257  
13.9160 14.5436 -166.8147  
13.9500 14.7218 -16.0192  
13.9830 14.6972 -23.9761  
14.0190 14.6671 -26.2796  
14.0500 14.5167 -43.4296  
14.0830 14.1144 -42.8716  
14.1160 13.8576 65.4306  
14.1500 13.2791 -80.6682  
14.1830 12.2148 -89.6319  
14.2160 10.5117 -89.1418  
14.2500 9.0658 -86.2537  
14.2830 7.3799 -89.2392  
14.3160 5.4349 -102.4970  
14.3490 3.3115 -82.7248  
14.3820 1.0708 -76.3702  
14.4160 -1.0923 -18.7437  
14.4490 -3.6301 -48.1436  
14.4830 -5.7980 28.1436  
14.5160 -7.7972 -38.5219  
14.5500 -9.6140 -32.8842  
14.5830 -11.2082 -21.3774  
14.6160 -12.5558 -14.5372  
14.6490 -13.8680 -91.7649  
14.6830 -15.3615 -133.6190  
14.7160 -15.8299 234.2825  
14.7490 -16.1706 19.3600  
14.7860 -16.2818 19.0890  
14.8190 -16.3771 33.8325  
14.8480 -16.2025 49.2357  
14.8830 -15.8030 32.3045  
14.9170 -15.3024 8.9754  
14.9500 -14.7219 9.7030  
14.9830 -13.5687 81.7531  
15.0160 -11.6455 95.6785  
15.0500 -10.2006 86.7190  
15.0830 -8.5246 89.3813  
15.1170 -6.6267 86.0253  
15.1500 -4.5686 82.4144  
15.1830 -2.3338 96.7737  
15.2160 0.0357 75.1087  
15.2490 2.2754 -30.0938  
15.2830 4.4673 -4.6425  
15.3160 6.4925 31.2330  
15.3490 8.3124 33.4787  
15.3830 9.9079 20.7067  
15.4160 11.2558 14.3537  
15.4500 12.9048 174.5916  
15.4830 14.4558 52.7157  
15.5160 14.9041 -237.3860  
15.5500 15.0659 -11.3554  
15.5830 15.2478 -23.9924  
15.6170 15.3427 -30.2590  
15.6530 15.1923 -39.4891  
15.6830 14.7900 -47.1588  
15.7170 14.5524 69.1466  
15.7500 13.9702 -90.0503  
15.7830 12.5250 -81.6314  
15.8170 10.5890 -93.1920  
15.8500 9.1658 -82.0052  
15.8830 7.4641 -96.1014  
15.9160 5.5259 -95.6249  
15.9490 3.3987 -88.4923  
15.9830 1.1626 -73.8118  
16.0160 -1.1794 -74.9666  
16.0500 -3.7433 3.8970  
16.0830 -6.0993 -27.0877  
16.1160 -8.1212 19.6325  
16.1500 -9.9221 -28.1762  
16.1830 -11.5229 -21.3900  
16.2170 -12.8545 -14.0985  
16.2500 -13.9798 -33.1258  
16.2820 -15.2928 -149.8707  
16.3160 -15.7498 177.9095  
16.3490 -15.9116 14.5143  
16.3830 -16.0000 25.4743  
16.4160 -15.8875 33.8089  
16.4500 -15.7129 37.3170  
16.4830 -15.2847 47.8051  
16.5160 -14.7199 20.0008  
16.5490 -14.1554 -14.5931  
16.5830 -13.2345 72.6529  
16.6160 -11.5182 95.6921  
16.6500 -10.1120 86.7382  
16.6830 -8.4365 96.0826  
16.7160 -6.5773 81.9439  
16.7500 -4.5350 86.6411  
16.7830 -2.3728 74.7811  
16.8160 -0.0710 90.1286  
16.8500 2.1520 -3.7644  
16.8840 4.3213 -29.9718  
16.9160 6.3535 34.3577  
16.9500 8.1803 32.4734  
16.9830 9.7827 21.3484  
17.0170 11.5904 153.6623  
17.0500 13.1674 12.0192  
17.0830 14.5083 17.7010  
17.1170 15.0133 -173.2306  
17.1500 15.1665 -16.5218  
17.1830 15.2533 -23.9600  
17.2160 15.3318 -33.4157  
17.2490 15.1814 -36.0380  
17.2820 14.7792 -42.8504  
17.3160 14.5288 65.3662  
17.3500 13.4610 -86.7604  
17.3830 12.0651 -87.3909  
17.4160 10.3167 -89.1141  
17.4500 8.8865 -79.6350  
17.4830 7.1950 -95.7188  
17.5160 5.2658 -95.9929  
17.5500 3.1548 -85.9070  
17.5830 0.9115 -76.1031  
17.6170 -1.4319 -71.0662  
17.6490 -3.9313 20.7353  
17.6830 -6.0849 14.9159  
17.7170 -8.0774 -37.4136  
17.7490 -9.8877 -34.9648  
17.7830 -11.4977 -20.7366  
17.8160 -12.8399 -14.5489  
17.8500 -14.1320 -78.4440  
17.8830 -15.3044 -52.2561  
17.9160 -15.7706 137.9308  
17.9500 -15.9408 15.9906  
17.9830 -16.0971 24.2902  
18.0160 -16.1765 38.6796  
18.0500 -16.0018 37.3406  
18.0830 -15.5962 36.0483  
18.1160 -15.3175 -59.8201  
18.1500 -14.7210 79.3749  
18.1830 -13.6107 74.8545  
18.2170 -12.0102 93.4515  
18.2500 -10.5719 88.7753  
18.2830 -8.8704 96.2466  
18.3170 -6.9792 79.3747  
18.3500 -4.9239 88.3989  
18.3850 -2.7231 77.8338  
18.4170 -0.3436 93.0177  
18.4490 2.3548 37.9927  
18.4830 4.5398 -71.6498  
18.5160 6.5877 33.3358  
18.5500 8.4284 32.4940  
18.5830 10.0554 24.0088  
18.6160 11.4033 11.6791  
18.6500 12.9678 143.1051  
18.6830 14.1057 -40.9149  
18.7160 14.6038 -111.3148  
18.7500 14.7656 -11.3554  
18.7830 14.7108 -28.7811  
18.8170 14.8126 -25.6111  
18.8500 14.6623 -43.0790  
18.8830 14.6301 69.3152  
18.9160 14.4014 -35.5795  
18.9490 13.8155 -96.5418  
18.9830 12.4547 -84.8096  
19.0170 10.9348 -86.5200  
19.0500 9.4888 -88.8919  
19.0830 7.7882 -88.8761  
19.1170 5.8683 -92.4300  
19.1510 3.7410 -86.6007  
19.1830 1.5096 -76.9547  
19.2160 -1.1968 -74.6369  
19.2500 -3.5336 74.1882  
19.2830 -5.6940 -43.1101  
19.3160 -7.6932 -38.5219  
19.3500 -9.5101 -32.8842  
19.3830 -11.1041 -21.3774  
19.4170 -12.4528 -14.1097  
19.4500 -13.7029 -65.3197  
19.4830 -14.7676 -33.0723  
19.5160 -15.2294 108.0873  
19.5540 -15.3970 12.6045  
19.5830 -15.7302 29.8665  
19.6170 -15.8254 28.1364  
19.6500 -15.6508 43.2677  
19.6840 -15.5703 -60.5726  
19.7170 -15.2449 52.8565  
19.7500 -14.6643 62.7644  
19.7830 -13.5984 81.7531  
19.8160 -12.1058 96.2416  
19.8500 -10.6995 79.5091  
19.8840 -9.0241 93.2566  
19.9160 -7.1422 91.5710  
19.9500 -5.0840 79.9905  
19.9830 -2.8991 81.6833  
20.0170 -0.2445 77.5543  
20.0500 2.3383 31.1226  
20.0830 4.5076 -62.5590  
20.1170 6.5328 36.9670  
20.1500 8.3350 28.6867  
20.1830 9.9461 23.9924  
20.2170 11.2788 11.3554  
20.2490 12.8022 151.2033  
20.2840 14.0043 -14.1077  
20.3160 14.5024 -135.7730  
20.3500 14.6823 -16.0192  
20.3830 14.6647 -28.7618  
20.4170 14.7746 -23.1805  
20.4500 14.6242 -40.7975  
20.4830 14.4586 24.0817  
20.5170 14.1801 -9.9423  
20.5500 13.6100 -76.6443  
20.5830 12.2652 -88.1335  
20.6170 10.6782 -85.7882  
20.6490 9.2323 -91.6445  
20.6840 7.5475 -83.8206  
20.7160 5.6410 -98.9624  
20.7500 3.5212 -85.8896  
20.7840 1.2851 -73.8118  
20.8160 -1.2778 -77.3093  
20.8500 -3.8416 -10.1850  
20.8830 -6.0710 24.6739  
20.9180 -8.0677 -16.6135  
20.9500 -9.8685 -29.9372  
20.9840 -11.4467 -20.7609  
21.0160 -12.7794 -14.9796  
21.0490 -13.8916 -29.1244  
21.0830 -15.2741 -165.4164  
21.1160 -15.7312 204.3991  
21.1500 -15.8930 14.0874  
21.1830 -15.9335 26.2463  
21.2170 -15.9439 32.8145  
21.2490 -15.7693 39.6493  
21.2830 -15.4050 27.6152  
21.3160 -15.1197 -45.3463  
21.3500 -14.5281 76.0007  
21.3830 -13.5977 73.5564  
21.4170 -11.7872 93.4110  
21.4510 -10.3583 86.1724  
21.4890 -8.6828 77.4782  
21.5170 -6.8010 104.6525  
21.5500 -4.7587 82.4144  
21.5830 -2.5698 82.8967  
21.6170 -0.2348 70.5713  
21.6500 2.2211 -8.7093  
21.6830 4.3633 -16.7459  
21.7170 6.3885 36.9670  
21.7500 8.1908 28.6867  
21.7870 9.7705 19.0405  
21.8160 11.1031 16.3219  
21.8500 12.5053 106.6483  
21.8830 14.0713 132.0449  
21.9160 14.5654 -241.9251  
21.9500 14.7651 -16.0192  
21.9840 14.8986 -27.9158  
22.0160 14.9928 -29.5461  
22.0500 14.8424 -34.9700  
22.0830 14.6048 2.2718  
22.1170 14.3810 24.7487  
22.1500 13.8109 -90.5766  
22.1830 12.5899 -87.3795  
22.2170 10.6389 -86.5200  
22.2500 9.2157 -82.0052  
22.2830 7.5298 -96.1014  
22.3170 5.6459 -86.1452  
22.3500 3.5383 -96.4660  
22.3830 1.3251 -68.0052  
22.4170 -1.1659 -79.4965  
22.4500 -3.6580 25.1582  
22.4840 -5.8184 9.6318  
22.5170 -7.8176 -38.5219  
22.5500 -9.6094 -26.2851  
22.5830 -11.2102 -24.1349  
22.6170 -12.5418 -14.0985  
22.6500 -13.6521 -21.7010  
22.6830 -15.1516 -214.3757  
22.7170 -15.6316 233.8364  
22.7500 -15.7933 14.5143  
22.7840 -15.9356 30.1720  
22.8170 -15.9990 33.7856  
22.8500 -15.8086 38.4238  
22.8830 -15.3895 43.0125  
22.9170 -15.0817 -56.1776  
22.9500 -14.4943 70.2055  
22.9730 -13.5884 107.3723  
23.0170 -11.6592 71.7589  
23.0500 -10.2530 82.4816  
23.0840 -8.5775 93.2566  
23.1170 -6.7116 88.7961  
23.1500 -4.6853 82.4144  
23.1830 -2.5161 81.6833  
23.2170 -0.2519 69.7228  
23.2500 1.9914 -64.2097  
23.2830 4.1379 40.8421  
23.3170 6.1631 36.9670  
23.3530 7.9672 26.2962  
23.3840 9.5783 25.5402  
23.4170 10.9109 11.6995  
23.4500 12.5717 188.2407  
23.4840 14.0930 38.9529  
23.5160 14.5911 -235.5106  
23.5500 14.7976 -16.0192  
23.5830 15.1369 -23.9761  
23.6160 15.2312 -33.4364  
23.6500 15.0808 -34.9700  
23.6830 14.6943 -42.8716  
23.7160 14.4483 66.5881  
23.7510 13.9009 -75.1065  
23.7830 12.4439 -90.0998  
23.8170 10.5603 -86.5482  
23.8500 9.1371 -88.8504  
23.8830 7.4749 -88.9214  
23.9170 5.5979 -86.4494  
23.9500 3.5358 -89.5076  
23.9830 1.3500 -73.5300  
24.0170 -0.9862 -85.8488  
24.0500 -3.4548 26.4524  
24.0840 -5.6221 11.3319  
24.1160 -7.6121 -34.7260  
24.1500 -9.4106 -30.2032  
24.1830 -10.9954 -24.1168  
24.2160 -12.3250 -11.5529  
24.2840 -14.0398 -99.8810  
24.3170 -14.7579 212.5340  
24.3500 -15.1855 14.4919  
24.3840 -15.2417 23.3730  
24.4170 -15.2825 31.1331  
24.4500 -15.2192 43.2137  
24.4830 -14.9029 42.9890  
24.5170 -14.6611 -52.1039  
24.5500 -14.1334 62.5208  
24.5830 -13.3248 73.5564  
24.6170 -11.4969 100.0641  
24.6510 -10.0772 86.1819  
24.6830 -8.4337 84.9264  
24.7170 -6.5765 86.1844  
24.7500 -4.5501 82.4144  
24.7830 -2.3968 81.6833  
24.8170 -0.1282 75.6519  
24.8500 2.0699 -75.0749  
24.8830 4.2032 42.8932  
24.9160 6.2284 40.7924  
24.9500 8.0080 27.8430  
24.9830 9.5738 23.9924  
25.0170 10.9064 11.3554  
25.0510 12.6526 207.8193  
25.0840 13.9064 -66.8153  
25.1170 14.4135 -144.5654  
25.1500 14.5999 -19.2407  
25.1830 14.9391 -28.7618  
25.2170 15.0339 -30.2766  
25.2500 14.8835 -33.4865  
25.2830 14.7440 31.9904  
25.3180 14.5122 -3.7681  
25.3390 13.9421 -142.6857  
25.3840 12.3972 -59.6109  
25.4170 10.7585 -95.2337  
25.4500 9.3262 -82.0052  
25.4840 7.6414 -92.9462  
25.5170 5.7576 -89.0943  
25.5500 3.7074 -81.5943  
25.5840 1.4942 -80.4394  
25.6170 -1.0948 -81.9055  
