t,s1,s2
10.66,-6366.379519037234,23764.64874579117
10.68,-7517.360321647657,22921.876796062563
10.7,-8560.061396566236,22474.113977294637
10.72,-9468.862018511376,22265.12965040436
10.74,-10303.148909512332,22156.21728550863
10.76,-10971.496693737876,22117.860495949255
10.78,-11482.967115358533,22062.19074563525
10.8,-11876.12592387128,21945.053442752687
10.82,-12087.18636559538,21771.629871925943
10.84,-12177.278275279208,21483.03895830112
10.86,-12112.062611283893,21136.9888420152
10.88,-11901.488314015916,20671.067908744946
10.9,-11548.522180975375,20144.88225602044
10.92,-11064.004990845859,19572.79388186849
10.94,-10452.55768636124,19008.77559862549
10.96,-9733.998810966747,18505.483917589525
10.98,-8883.221650681244,18129.401539569666
11.0,-7851.131139376475,18061.53605395978
11.02,-6681.663085863306,18329.412141143508
11.04,-5324.773156557481,19156.04580826741
11.06,-3845.881084984313,20588.562300553265
11.08,-2325.291581517902,22694.813940131637
11.1,-916.950472290698,25521.791969124046
11.12,176.26207458944094,28905.285209177724
11.14,738.1416830081636,32966.121394383175
11.16,767.2478583443299,37796.89771342066
11.18,917.3476635638868,42352.47280707409
11.2,1668.1512534448339,46110.7938233808
11.22,2791.389246819419,49384.22594935993
11.24,4175.664830662049,52138.193875411904
11.26,5578.574603570893,54338.82788722118
11.28,6914.897982819118,56130.847076109094
11.3,8141.215833459839,57449.33308558566
11.32,9206.44125545692,58491.9146560069
11.34,10125.527094199851,59305.21222503564
11.36,10854.255087869975,59976.358552631624
11.38,11461.509068488485,60567.26802707544
11.4,11948.987464039357,61161.275850633596
11.42,12292.151591661712,61796.25387980973
11.44,12569.358429771017,62505.96043407588
11.46,12716.223296095784,63299.6781004064
11.48,12798.657003585813,64190.50531830184
11.5,12757.496980918177,65140.62765671548
11.52,12627.725095659844,66111.4905840771
11.54,12398.288501109844,67044.61652128234
11.56,11989.187737183096,67997.61930981399
11.58,11461.509068488485,68809.85253749789
11.6,10761.17559166334,69580.38451530221
11.62,9917.347663563887,70420.84126645877
11.64,8911.154493004658,71446.4243195537
11.66,7690.1223127488565,72808.13411392728
11.68,6201.443092569185,74743.31226964103
11.7,4362.0363802462525,77415.4019550126
11.72,2515.0397119193804,79799.45825997446
11.74,825.7571691047631,81109.8561365061
11.76,-825.3422926583708,81515.92147365244
11.78,-2521.9491391096076,80960.37591269577
11.8,-4139.138699502527,79499.53196198438
11.82,-5618.181490177697,77328.57500112051
11.84,-6812.457748935979,74676.24622362909
11.86,-7581.400276996833,71705.69417486199
11.88,-7822.64414261127,68398.30470716419
11.9,-7553.00627992181,64658.71423596383
11.92,-7127.54138756234,60807.85696960003
11.94,-6904.902249926636,57441.099401660606
11.96,-6942.764017015424,54276.67534680087
11.98,-7182.965456478867,51038.31577388649
12.0,-7609.745061906918,47532.50952744675
12.02,-8000.5265023551,43952.8911611808
12.04,-8029.284695804128,40610.63831989072
12.06,-7581.400276996833,37598.13756654642
12.08,-6628.120499917381,34347.35637729198
12.1,-5113.834170614701,30342.56751544615
12.12,-3575.563598358148,26485.56396593968
12.14,-2352.0333595672496,23563.894829905614
12.16,-1331.7828845535582,21053.715822055354
12.18,-383.477421739308,18774.949307096747
12.2,530.0701794208939,16538.783872520227
12.22,1490.1037442109985,14211.72356720592
12.24,2554.0567086797,11642.381884737624
12.26,3840.0884950050818,8532.63625207258
12.28,5454.886935180166,4453.430590803323
12.3,6810.687023906243,675.2572593077525
12.32,7604.254512154726,-2409.2876557844447
12.34,7933.036402823874,-5461.355366867665
12.36,7782.788464305367,-8828.643593866236
12.38,7362.1411487295645,-12403.878320214208
12.4,6953.038777488008,-15795.395620080782
12.42,6717.1968822693925,-18968.390787416643
12.44,6690.063777573016,-22062.0648257673
12.46,6942.443744982425,-25448.381254668304
12.48,7353.59506350275,-29288.638508181753
12.5,7532.301228717243,-32939.118384055895
12.52,7232.338139438613,-36156.11157865366
12.54,6425.744422277388,-38998.55137931535
12.56,5259.906493437915,-41524.93670612333
12.58,3775.3372345609328,-43519.48967714416
12.6,2171.190727409322,-44775.593075935765
12.62,559.4114305451064,-45172.826892734854
12.64,-1066.9635971761256,-44620.76271703889
12.66,-2745.150512509484,-43138.25804675847
12.68,-4574.28540579659,-40753.54207809394
12.7,-6301.091970848962,-38303.04429355068
12.72,-7702.056155248109,-36575.32487644793
12.74,-8824.778131716928,-35380.522298023956
12.76,-9762.893386494583,-34494.04686511337
12.78,-10545.085583714284,-33733.18800997272
12.8,-11178.207521680044,-33021.76659294559
12.82,-11614.051856662389,-32270.209117891995
12.84,-11916.085524180227,-31409.201681757317
12.86,-12072.062761122515,-30491.94582175872
12.88,-12046.990204912026,-29502.621322180294
12.9,-11916.085524180227,-28515.715942377927
12.92,-11679.626012021141,-27527.20793215739
12.94,-11313.316003058893,-26546.42272891894
12.96,-10814.332385704403,-25607.70897059254
12.98,-10210.643669075303,-24635.360473174827
13.0,-9468.862018511376,-23645.640360068923
13.02,-8589.409892060963,-22468.654264512617
13.04,-7552.817322793571,-21137.695540398527
13.06,-6392.9143220008955,-19548.7169279326
13.08,-5136.8715491495295,-17576.14653069278
13.1,-3868.6842705308272,-15202.75740053934
13.12,-2679.6711309456787,-12415.51505401638
13.14,-1767.6618605613876,-9169.349191859294
13.16,-1274.6722074086588,-5401.15547081278
13.18,-1245.9085573313225,-898.3166899973849
13.2,-1124.6755565764763,3473.1969412381354
13.22,-471.50668239716566,7144.5850574184615
13.24,646.9244379280638,10173.29650275055
13.26,1984.819684885243,12619.962603997143
