t,s1,s2,s3,s4
260,0.534865,0.047759,0.39397,-0.021646
261,0.535552,0.04755,0.394476,-0.021376
262,0.535289,0.04761,0.394474,-0.021297
263,0.534394,0.047512,0.393889,-0.021381
264,0.534588,0.047419,0.393788,-0.021434
265,0.535742,0.047484,0.394344,-0.021614
266,0.53554,0.047666,0.394172,-0.021723
267,0.535709,0.047738,0.394027,-0.021903
268,0.535696,0.04783,0.394142,-0.021879
269,0.534774,0.047795,0.393604,-0.021901
270,0.535755,0.047866,0.394246,-0.021919
271,0.535215,0.047769,0.394034,-0.021947
272,0.536185,0.047815,0.394726,-0.021882
273,0.535034,0.047849,0.393864,-0.021892
274,0.535046,0.047897,0.393889,-0.021852
275,0.534871,0.047901,0.393764,-0.021866
276,0.534858,0.04787,0.393662,-0.021746
277,0.535544,0.047936,0.394052,-0.02176
278,0.535664,0.047799,0.394182,-0.021708
279,0.534794,0.047704,0.393672,-0.021662
280,0.535332,0.047713,0.39404,-0.021662
281,0.534956,0.047755,0.393814,-0.021667
282,0.535836,0.047861,0.394609,-0.021518
283,0.534812,0.047777,0.394048,-0.021374
284,0.535493,0.047851,0.394577,-0.021425
285,0.534636,0.047739,0.39403,-0.021552
286,0.535771,0.047729,0.394836,-0.021494
287,0.535765,0.047626,0.394819,-0.02149
288,0.534955,0.047522,0.394164,-0.021572
289,0.535836,0.047539,0.394591,-0.021628
290,0.53621,0.047667,0.394718,-0.021609
291,0.535286,0.047714,0.394105,-0.021649
292,0.536101,0.047771,0.394705,-0.021554
293,0.536586,0.047974,0.394931,-0.021565
294,0.535608,0.047952,0.39438,-0.021497
295,0.535579,0.047902,0.394409,-0.021499
296,0.536695,0.047899,0.395211,-0.021494
297,0.53611,0.047812,0.394898,-0.021499
298,0.535994,0.047782,0.394726,-0.021564
299,0.536609,0.047827,0.394964,-0.021546
300,0.536196,0.047935,0.39471,-0.021521
301,0.535438,0.048015,0.394062,-0.021491
302,0.535941,0.048156,0.394425,-0.021312
303,0.535845,0.048111,0.39437,-0.021217
304,0.534946,0.048014,0.393814,-0.021158
305,0.536342,0.04809,0.394839,-0.020995
306,0.535424,0.048063,0.394409,-0.021012
307,0.53551,0.047982,0.394518,-0.020982
308,0.536206,0.047924,0.395086,-0.02101
309,0.53535,0.04777,0.394597,-0.020946
310,0.535397,0.047633,0.39469,-0.02094
311,0.536136,0.047631,0.395113,-0.020917
312,0.535882,0.047588,0.394986,-0.020954
313,0.535365,0.047545,0.394715,-0.021016
314,0.536374,0.047578,0.395348,-0.021089
315,0.536206,0.047514,0.395113,-0.021179
316,0.53506,0.04739,0.394381,-0.021209
317,0.536077,0.047489,0.395073,-0.021144
318,0.535298,0.047459,0.394559,-0.021126
319,0.536186,0.047548,0.3951,-0.021121
320,0.535534,0.047542,0.394799,-0.021079
321,0.53537,0.047596,0.394682,-0.021051
322,0.536277,0.047709,0.395208,-0.021087
323,0.535162,0.047945,0.394363,-0.021034
324,0.536109,0.048187,0.394951,-0.02088
325,0.535337,0.048144,0.394323,-0.020939
326,0.536104,0.048156,0.394747,-0.02097
327,0.536027,0.047985,0.394495,-0.021213
328,0.536723,0.047826,0.394947,-0.021395
329,0.536247,0.047517,0.394928,-0.021561
330,0.536216,0.047586,0.395117,-0.021733
331,0.535846,0.047578,0.394862,-0.021713
332,0.535436,0.047532,0.394552,-0.021726
333,0.535836,0.047529,0.394647,-0.021799
334,0.535534,0.047473,0.394412,-0.021768
335,0.5356,0.047518,0.394455,-0.021715
336,0.535266,0.04776,0.394412,-0.021549
337,0.534614,0.047762,0.393955,-0.021566
338,0.534508,0.047813,0.39388,-0.021528
339,0.535158,0.047874,0.39429,-0.02147
340,0.534756,0.047839,0.394069,-0.021497
341,0.534951,0.047869,0.393983,-0.021634
342,0.535227,0.047908,0.394021,-0.021724
343,0.53526,0.047886,0.393988,-0.021693
344,0.53519,0.047761,0.393979,-0.021707
345,0.534626,0.047577,0.393631,-0.021694
346,0.534895,0.047609,0.393857,-0.021677
347,0.535067,0.047626,0.394096,-0.021684
348,0.536084,0.047673,0.394717,-0.021799
349,0.535573,0.047674,0.394276,-0.021748
350,0.536071,0.047877,0.394507,-0.021786
351,0.534974,0.047752,0.39377,-0.021839
352,0.535576,0.047784,0.394268,-0.021826
353,0.535695,0.047709,0.39425,-0.021751
354,0.535352,0.047448,0.394147,-0.021611
355,0.534562,0.047503,0.393735,-0.021425
356,0.534456,0.047548,0.393749,-0.02133
357,0.534466,0.047533,0.393921,-0.021399
358,0.53545,0.047516,0.394624,-0.021459
359,0.534655,0.047425,0.393844,-0.021675
360,0.535004,0.047594,0.394032,-0.02172
361,0.536,0.047729,0.394791,-0.021667
362,0.535941,0.047744,0.394868,-0.02167
363,0.5364,0.047785,0.395214,-0.021737
364,0.535879,0.04772,0.394911,-0.021741
365,0.536909,0.047724,0.395513,-0.021738
366,0.536017,0.047733,0.394812,-0.021569
367,0.536668,0.047828,0.39516,-0.021475
368,0.535759,0.04792,0.394491,-0.021354
369,0.536207,0.04799,0.39461,-0.021213
370,0.535432,0.047878,0.394018,-0.021205
371,0.536012,0.048166,0.394414,-0.021185
372,0.535627,0.048248,0.394308,-0.020968
373,0.53616,0.048234,0.394667,-0.020996
374,0.535487,0.048239,0.393986,-0.020959
375,0.535367,0.048164,0.393922,-0.020907
376,0.535263,0.048101,0.393849,-0.021012
377,0.535871,0.048075,0.39424,-0.021103
378,0.535773,0.048003,0.394408,-0.021065
379,0.535626,0.047951,0.394297,-0.021026
380,0.53541,0.047917,0.394129,-0.021087
381,0.535121,0.048083,0.393958,-0.021222
382,0.536133,0.048172,0.394639,-0.021228
383,0.535535,0.048,0.394312,-0.021174
384,0.535287,0.04796,0.394107,-0.021151
385,0.5357,0.047973,0.3943,-0.021256
386,0.535493,0.048039,0.394254,-0.021335
387,0.536213,0.047932,0.394918,-0.021359
388,0.535639,0.047813,0.39453,-0.021461
389,0.537028,0.047797,0.395404,-0.021511
390,0.536177,0.047782,0.39492,-0.021575
391,0.536318,0.047858,0.395066,-0.021572
392,0.537086,0.047834,0.395596,-0.021642
393,0.535959,0.047767,0.394883,-0.021651
394,0.535992,0.047795,0.394917,-0.02163
395,0.535529,0.047787,0.394515,-0.021602
396,0.535909,0.047791,0.39483,-0.021662
397,0.535298,0.047645,0.394426,-0.021691
398,0.53543,0.047458,0.394359,-0.021676
399,0.535883,0.047647,0.394651,-0.021647
400,0.535786,0.047834,0.394826,-0.021508
401,0.534691,0.047713,0.394003,-0.021549
402,0.535511,0.047955,0.394636,-0.021499
403,0.535117,0.048086,0.394463,-0.021558
404,0.53455,0.048089,0.394084,-0.021513
405,0.535013,0.04787,0.3942,-0.02135
406,0.534211,0.04762,0.393682,-0.021233
407,0.534697,0.047659,0.394075,-0.021194
408,0.53494,0.047665,0.394251,-0.021243
409,0.534773,0.047513,0.393906,-0.021434
410,0.535407,0.047637,0.394316,-0.021518
411,0.535653,0.04768,0.394669,-0.021397
412,0.535642,0.047596,0.394883,-0.021445
413,0.534176,0.047565,0.393868,-0.021405
414,0.535215,0.04769,0.39451,-0.021371
415,0.533954,0.047726,0.393506,-0.021516
416,0.534686,0.047869,0.393987,-0.021553
417,0.534382,0.04771,0.393839,-0.02165
418,0.534804,0.047707,0.394156,-0.021577
419,0.535035,0.04766,0.394226,-0.021555
420,0.535085,0.047622,0.39423,-0.021561
421,0.535291,0.047513,0.394182,-0.021592
422,0.53628,0.047652,0.394813,-0.021629
423,0.5353,0.047654,0.394261,-0.021489
424,0.536446,0.047839,0.394971,-0.021449
425,0.535481,0.047732,0.394407,-0.021411
426,0.53607,0.047789,0.394885,-0.021459
427,0.536397,0.047814,0.395189,-0.021694
428,0.537179,0.047869,0.395639,-0.021706
429,0.536413,0.047793,0.395079,-0.021678
430,0.536167,0.047755,0.394888,-0.021655
431,0.536683,0.047846,0.395123,-0.02157
432,0.535294,0.047971,0.394111,-0.021406
433,0.535823,0.048049,0.39448,-0.021313
434,0.535776,0.048136,0.394461,-0.021204
435,0.535796,0.048249,0.394445,-0.021046
436,0.535723,0.04827,0.394497,-0.020991
437,0.535485,0.048201,0.394355,-0.021116
438,0.536157,0.0482,0.394889,-0.021068
439,0.535187,0.048085,0.394274,-0.021065
440,0.535622,0.048058,0.394561,-0.02108
441,0.535113,0.048016,0.394231,-0.021088
442,0.535894,0.048079,0.394701,-0.021042
443,0.53506,0.048033,0.394097,-0.021064
444,0.535808,0.048081,0.394561,-0.021056
445,0.535087,0.047997,0.394018,-0.021112
446,0.536126,0.048028,0.394544,-0.021131
447,0.535343,0.047968,0.393982,-0.021251
448,0.535681,0.047963,0.394196,-0.02144
449,0.536461,0.047898,0.394769,-0.021628
450,0.536542,0.047841,0.394911,-0.021671
451,0.535861,0.04775,0.394495,-0.021709
452,0.536729,0.04791,0.395159,-0.021656
453,0.535735,0.047814,0.394423,-0.021683
454,0.536038,0.047868,0.394702,-0.021682
455,0.535295,0.047723,0.394157,-0.021693
456,0.535507,0.047781,0.394266,-0.021615
457,0.536206,0.047792,0.394654,-0.021669
458,0.535632,0.047654,0.394318,-0.02172
459,0.535343,0.047545,0.39419,-0.021694
460,0.536237,0.047515,0.394793,-0.021786
461,0.535498,0.047454,0.394337,-0.02181
462,0.534826,0.047461,0.393977,-0.021796
463,0.535568,0.047536,0.394492,-0.021815
464,0.535542,0.04761,0.3945,-0.021755
465,0.534731,0.047626,0.394106,-0.021708
466,0.535349,0.0477,0.394511,-0.021587
467,0.535264,0.047712,0.39442,-0.021505
468,0.535007,0.047657,0.394208,-0.021412
469,0.535205,0.047651,0.394393,-0.021397
470,0.534962,0.047669,0.394447,-0.021386
471,0.53544,0.047687,0.394748,-0.021424
472,0.53466,0.047657,0.394316,-0.021412
473,0.534475,0.04756,0.394188,-0.021398
474,0.535056,0.047549,0.394462,-0.021388
475,0.534695,0.047549,0.394185,-0.021439
476,0.5353,0.047766,0.394432,-0.021354
477,0.535212,0.047798,0.394327,-0.021447
478,0.534527,0.047693,0.393815,-0.021483
479,0.534557,0.047653,0.393781,-0.021405
480,0.535352,0.047654,0.394371,-0.021408
481,0.535362,0.047636,0.394519,-0.021415
482,0.534415,0.047577,0.39397,-0.021425
483,0.535309,0.047576,0.3945,-0.021349
484,0.534403,0.047508,0.393788,-0.02142
485,0.535519,0.047618,0.394473,-0.021497
486,0.53573,0.047781,0.394509,-0.021656
487,0.53609,0.047827,0.394705,-0.021726
488,0.535367,0.047809,0.394322,-0.021702
489,0.535452,0.047781,0.394348,-0.021673
490,0.535463,0.047748,0.394452,-0.021696
491,0.536246,0.047815,0.39496,-0.021694
492,0.53596,0.047765,0.39481,-0.021682
493,0.536259,0.047693,0.395092,-0.021738
494,0.535542,0.04765,0.39472,-0.021659
495,0.536597,0.047765,0.395317,-0.02161
496,0.535771,0.047795,0.39487,-0.021501
497,0.536206,0.047825,0.395154,-0.021581
498,0.536348,0.047805,0.395226,-0.021545
499,0.537156,0.047848,0.39555,-0.021595
500,0.536331,0.04761,0.395021,-0.021555
501,0.536836,0.047684,0.395208,-0.021598
502,0.535597,0.047725,0.394427,-0.021628
503,0.536395,0.047689,0.395015,-0.021564
504,0.535902,0.047818,0.394718,-0.02169
505,0.536525,0.047864,0.395161,-0.021549
506,0.535992,0.047949,0.39473,-0.021374
507,0.535936,0.047929,0.394642,-0.021206
508,0.53689,0.047969,0.395217,-0.021369
509,0.536175,0.047927,0.394538,-0.021553
510,0.537161,0.047969,0.395251,-0.021541
511,0.535956,0.047743,0.394499,-0.021371
512,0.53682,0.047716,0.395113,-0.021389
513,0.536624,0.047734,0.395053,-0.02141
514,0.535846,0.047739,0.394711,-0.021364
515,0.535833,0.047869,0.39482,-0.021357
516,0.536908,0.047883,0.395529,-0.021443
517,0.535881,0.047893,0.394867,-0.021436
518,0.537013,0.047918,0.395605,-0.021515
519,0.536277,0.04788,0.395129,-0.021532
520,0.537158,0.047955,0.395683,-0.021616
521,0.536598,0.047902,0.395305,-0.021672
522,0.5362,0.047881,0.395044,-0.021677
523,0.53695,0.047926,0.395526,-0.02162
524,0.536782,0.047956,0.395433,-0.021655
525,0.535818,0.047875,0.394732,-0.021652
526,0.53649,0.047917,0.395193,-0.02164
527,0.536476,0.047906,0.395152,-0.021652
528,0.53585,0.047913,0.394702,-0.021607
529,0.53607,0.047896,0.394786,-0.021623
530,0.536695,0.047942,0.395253,-0.021639
531,0.535914,0.04785,0.394631,-0.021679
532,0.535929,0.047805,0.394669,-0.021611
533,0.536797,0.047918,0.395155,-0.021594
534,0.536218,0.047786,0.394861,-0.021631
535,0.535924,0.047761,0.394692,-0.021714
536,0.536694,0.047783,0.395338,-0.02164
537,0.536154,0.047682,0.3948,-0.021627
538,0.535324,0.047674,0.394153,-0.021604
539,0.535515,0.047692,0.394245,-0.021605
540,0.535877,0.047588,0.394545,-0.021713
541,0.535651,0.04757,0.394583,-0.021765
542,0.53608,0.047609,0.394733,-0.021719
543,0.535309,0.047503,0.394132,-0.02162
544,0.53529,0.047508,0.394231,-0.021582
545,0.536183,0.047632,0.39477,-0.021574
546,0.535531,0.047602,0.394417,-0.021668
547,0.535049,0.047554,0.394003,-0.021729
548,0.535428,0.047495,0.394521,-0.021606
549,0.53595,0.047602,0.394881,-0.021628
550,0.53593,0.047554,0.394624,-0.021695
